yourlist:M202202226320BA52A5CE8FCD097CB85A53697A3542D570B	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC576914	A0A7M7HKB6	A0A7M7HKB6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	477
LOC576914	A0A7M7HML7	A0A7M7HML7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	499
LOC578981	A0A7M7N3Q5	A0A7M7N3Q5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	429
LOC576742	A0A7M7HKP8	A0A7M7HKP8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	374
LOC576742	A0A7M7HKZ1	A0A7M7HKZ1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	388
LOC576742	A0A7M7RAM1	A0A7M7RAM1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	349
LOC575279	A0A7M7SZD3	A0A7M7SZD3_STRPU	unreviewed	Guanylate cyclase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	745
LOC581087	A0A7M7RDA3	A0A7M7RDA3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	535
LOC577780	A0A7M7HN48	A0A7M7HN48_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	643
LOC577780	A0A7M7NVQ3	A0A7M7NVQ3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	629
LOC577780	A0A7M7NXP2	A0A7M7NXP2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	618
LOC594128	A0A7M7RHI9	A0A7M7RHI9_STRPU	unreviewed	Carboxypeptidase (EC 3.4.16.-)		Strongylocentrotus purpuratus (Purple sea urchin)	470
LOC584503	A0A7M7PP10	A0A7M7PP10_STRPU	unreviewed	Spectrin beta chain		Strongylocentrotus purpuratus (Purple sea urchin)	2344
LOC584503	A0A7M7T506	A0A7M7T506_STRPU	unreviewed	Spectrin beta chain		Strongylocentrotus purpuratus (Purple sea urchin)	2351
LOC100890426	A0A7M7NJ77	A0A7M7NJ77_STRPU	unreviewed	Guanylate cyclase (EC 4.6.1.2)		Strongylocentrotus purpuratus (Purple sea urchin)	735
LOC100890426	A0A7M7NLB3	A0A7M7NLB3_STRPU	unreviewed	Guanylate cyclase (EC 4.6.1.2)		Strongylocentrotus purpuratus (Purple sea urchin)	755
LOC754026	A0A7M7PD59	A0A7M7PD59_STRPU	unreviewed	Mitochondrial pyruvate carrier		Strongylocentrotus purpuratus (Purple sea urchin)	165
LOC578468	A0A7M7NFM0	A0A7M7NFM0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1084
LOC115927280	A0A7M7PBC2	A0A7M7PBC2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	191
LOC581364	A0A7M7TGJ0	A0A7M7TGJ0_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	425
LOC579441	A0A7M7PFC0	A0A7M7PFC0_STRPU	unreviewed	Glycine N-methyltransferase (EC 2.1.1.20)		Strongylocentrotus purpuratus (Purple sea urchin)	291
LOC579746	A0A7M7MZB4	A0A7M7MZB4_STRPU	unreviewed	G_PROTEIN_RECEP_F3_4 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	924
LOC579746	A0A7M7N083	A0A7M7N083_STRPU	unreviewed	G_PROTEIN_RECEP_F3_4 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	893
LOC591084	A0A7M7HM70	A0A7M7HM70_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4887
LOC591084	A0A7M7HML0	A0A7M7HML0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4888
LOC591084	A0A7M7HPP2	A0A7M7HPP2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4929
LOC591084	A0A7M7MYK8	A0A7M7MYK8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4953
LOC591084	A0A7M7MYU7	A0A7M7MYU7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4938
LOC591084	A0A7M7MYX3	A0A7M7MYX3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4955
LOC591084	A0A7M7MYZ0	A0A7M7MYZ0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4950
LOC591084	A0A7M7MZ34	A0A7M7MZ34_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4954
LOC591084	A0A7M7MZU9	A0A7M7MZU9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4936
LOC591084	A0A7M7N001	A0A7M7N001_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4954
LOC591084	A0A7M7N156	A0A7M7N156_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4954
LOC591084	A0A7M7SSQ3	A0A7M7SSQ3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4954
LOC591084	A0A7M7SSU8	A0A7M7SSU8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4951
LOC581678	A0A7M7NIY6	A0A7M7NIY6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	867
LOC100893564	A0A7M7SZ28	A0A7M7SZ28_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	846
LOC587687	A0A7M7NKL6	A0A7M7NKL6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2359
LOC587687	A0A7M7NKL8	A0A7M7NKL8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2362
LOC587687	A0A7M7NKN8	A0A7M7NKN8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2404
LOC587687	A0A7M7NKX2	A0A7M7NKX2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2417
LOC587687	A0A7M7NKX7	A0A7M7NKX7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2425
LOC587687	A0A7M7NKY7	A0A7M7NKY7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2323
LOC587687	A0A7M7NL05	A0A7M7NL05_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2403
LOC587687	A0A7M7NLG0	A0A7M7NLG0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2418
LOC587687	A0A7M7NLH2	A0A7M7NLH2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2285
LOC587687	A0A7M7NMQ2	A0A7M7NMQ2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2409
LOC587687	A0A7M7NN01	A0A7M7NN01_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2442
LOC587687	A0A7M7NN12	A0A7M7NN12_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2345
LOC587687	A0A7M7NQF6	A0A7M7NQF6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2434
LOC587687	A0A7M7NQG8	A0A7M7NQG8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2340
LOC587687	A0A7M7SX88	A0A7M7SX88_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2433
LOC587687	A0A7M7SX89	A0A7M7SX89_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2324
LOC587687	A0A7M7SX96	A0A7M7SX96_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2425
LOC587687	A0A7M7SX98	A0A7M7SX98_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2307
LOC577037	A0A7M7RJ32	A0A7M7RJ32_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	767
LOC105445121	A0A7M7NT13	A0A7M7NT13_STRPU	unreviewed	Sushi domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	416
LOC578013	A0A7M7HN38	A0A7M7HN38_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	893
LOC578013	A0A7M7HNC0	A0A7M7HNC0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	877
LOC578013	A0A7M7HQN9	A0A7M7HQN9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	886
LOC578013	A0A7M7RE12	A0A7M7RE12_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1080
LOC105437288	A0A7M7PE62	A0A7M7PE62_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	234
LOC580795	A0A7M7LW61	A0A7M7LW61_STRPU	unreviewed	Serine/threonine protein phosphatase 2A regulatory subunit		Strongylocentrotus purpuratus (Purple sea urchin)	460
LOC580795	A0A7M7RA42	A0A7M7RA42_STRPU	unreviewed	Serine/threonine protein phosphatase 2A regulatory subunit		Strongylocentrotus purpuratus (Purple sea urchin)	461
LOC585766	A0A7M7RGI3	A0A7M7RGI3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	442
LOC581907	A0A7M7P9R7	A0A7M7P9R7_STRPU	unreviewed	Integrin_alpha2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1008
LOC588946	A0A7M7P7V1	A0A7M7P7V1_STRPU	unreviewed	EF-hand domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1365
LOC588946	A0A7M7P7V8	A0A7M7P7V8_STRPU	unreviewed	EF-hand domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1676
LOC588946	A0A7M7P9Z3	A0A7M7P9Z3_STRPU	unreviewed	EF-hand domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1662
LOC588946	A0A7M7PD10	A0A7M7PD10_STRPU	unreviewed	EF-hand domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1662
LOC588946	A0A7M7T1P2	A0A7M7T1P2_STRPU	unreviewed	EF-hand domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1648
LOC588991	A0A7M7REB7	A0A7M7REB7_STRPU	unreviewed	Dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109)		Strongylocentrotus purpuratus (Purple sea urchin)	762
LOC588991	A0A7M7T4I4	A0A7M7T4I4_STRPU	unreviewed	Dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109)		Strongylocentrotus purpuratus (Purple sea urchin)	659
LOC578254	A0A7M7TGA8	A0A7M7TGA8_STRPU	unreviewed	DUF1681 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	276
LOC105446332	A0A7M7LTX1	A0A7M7LTX1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	124
LOC100891646	A0A7M7GLU6	A0A7M7GLU6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	516
LOC100893393	A0A7M7NXD3	A0A7M7NXD3_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	356
LOC578459	A0A7M7N8Q1	A0A7M7N8Q1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6305
LOC578459	A0A7M7N9X8	A0A7M7N9X8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	5370
LOC755114	A0A7M7N0U7	A0A7M7N0U7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1310
LOC755114	A0A7M7N1F9	A0A7M7N1F9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1515
LOC755114	A0A7M7N2C2	A0A7M7N2C2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1511
LOC755114	A0A7M7N3P6	A0A7M7N3P6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1510
LOC755114	A0A7M7ST67	A0A7M7ST67_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1501
LOC592872	A0A7M7RHB3	A0A7M7RHB3_STRPU	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30)		Strongylocentrotus purpuratus (Purple sea urchin)	492
LOC100890824	A0A7M7HKL5	A0A7M7HKL5_STRPU	unreviewed	RNA binding protein fox-1 homolog		Strongylocentrotus purpuratus (Purple sea urchin)	391
LOC100890824	A0A7M7HKV2	A0A7M7HKV2_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	474
LOC100890824	A0A7M7NR44	A0A7M7NR44_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	468
LOC100890824	A0A7M7NR66	A0A7M7NR66_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	463
LOC100890824	A0A7M7NRB6	A0A7M7NRB6_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	466
LOC100890824	A0A7M7NRH3	A0A7M7NRH3_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	473
LOC100890824	A0A7M7NRK3	A0A7M7NRK3_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	437
LOC100890824	A0A7M7NRP1	A0A7M7NRP1_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	468
LOC100890824	A0A7M7NTD9	A0A7M7NTD9_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	469
LOC100890824	A0A7M7NTS0	A0A7M7NTS0_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	443
LOC100890824	A0A7M7NWM8	A0A7M7NWM8_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	442
LOC100890824	A0A7M7SYF2	A0A7M7SYF2_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	460
LOC100888673	A0A7M7GFP9	A0A7M7GFP9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	600
LOC100888673	A0A7M7HE39	A0A7M7HE39_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	623
LOC763287	A0A7M7G143	A0A7M7G143_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2595
LOC763287	A0A7M7HID4	A0A7M7HID4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2291
LOC763287	A0A7M7HLE9	A0A7M7HLE9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2291
LOC763287	A0A7M7HNK1	A0A7M7HNK1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2443
LOC763287	A0A7M7LT58	A0A7M7LT58_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2443
LOC582967	A0A7M7NHH2	A0A7M7NHH2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	881
LOC582967	A0A7M7NHJ2	A0A7M7NHJ2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	914
LOC582967	A0A7M7NHS6	A0A7M7NHS6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	898
LOC582967	A0A7M7NHV1	A0A7M7NHV1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	916
LOC582967	A0A7M7NJH3	A0A7M7NJH3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	915
LOC100890918	A0A7M7N307	A0A7M7N307_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	562
LOC762443	A0A7M7G470	A0A7M7G470_STRPU	unreviewed	Homeobox domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	560
LOC115926076	A0A7M7T161	A0A7M7T161_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	599
LOC576434	A0A7M7MZ26	A0A7M7MZ26_STRPU	unreviewed	Guanylate cyclase (EC 4.6.1.2)		Strongylocentrotus purpuratus (Purple sea urchin)	820
LOC764083	A0A7M7PQM2	A0A7M7PQM2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1153
LOC115923684	A0A7M7NXA8	A0A7M7NXA8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	92
LOC589280	A0A7M7RGR1	A0A7M7RGR1_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	351
LOC100891963	A0A7M7P541	A0A7M7P541_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	411
LOC100891963	A0A7M7P6B5	A0A7M7P6B5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	389
LOC589760	A0A7M7NQX6	A0A7M7NQX6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	307
LOC589760	A0A7M7NV55	A0A7M7NV55_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	329
LOC584660	A0A7M7TGZ8	A0A7M7TGZ8_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	339
LOC100891416	A0A7M7LL15	A0A7M7LL15_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	342
LOC105443331	A0A7M7NBT5	A0A7M7NBT5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	449
LOC100893481	A0A7M7MZV8	A0A7M7MZV8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	473
LOC763491	A0A7M7T3P6	A0A7M7T3P6_STRPU	unreviewed	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1		Strongylocentrotus purpuratus (Purple sea urchin)	622
LOC593493	A0A7M7RFD2	A0A7M7RFD2_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	876
LOC100890186	A0A7M7HK18	A0A7M7HK18_STRPU	unreviewed	DED domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1054
LOC100890186	A0A7M7HK71	A0A7M7HK71_STRPU	unreviewed	DED domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1053
LOC581228	A0A7M7SSG5	A0A7M7SSG5_STRPU	unreviewed	Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89)		Strongylocentrotus purpuratus (Purple sea urchin)	179
LOC100889316	A0A7M7GGH8	A0A7M7GGH8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	665
LOC100889316	A0A7M7HK25	A0A7M7HK25_STRPU	unreviewed	SCP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	704
LOC100889316	A0A7M7HK78	A0A7M7HK78_STRPU	unreviewed	SCP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	644
LOC580751	A0A7M7RBB0	A0A7M7RBB0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1197
LOC590989	A0A7M7N7X0	A0A7M7N7X0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2129
LOC590989	A0A7M7N850	A0A7M7N850_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1760
LOC590989	A0A7M7N855	A0A7M7N855_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2137
LOC590989	A0A7M7N876	A0A7M7N876_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2121
LOC590989	A0A7M7N8J7	A0A7M7N8J7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2166
LOC590989	A0A7M7NA72	A0A7M7NA72_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1740
LOC579858	A0A7M7NLU8	A0A7M7NLU8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	897
LOC752657	A0A7M7P9U1	A0A7M7P9U1_STRPU	unreviewed	Harbinger transposase-derived nuclease (Putative nuclease HARBI1)		Strongylocentrotus purpuratus (Purple sea urchin)	344
LOC753239	A0A7M7PSZ1	A0A7M7PSZ1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	781
LOC105441563	A0A7M7ND61	A0A7M7ND61_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	440
LOC582498	A0A7M7RFU6	A0A7M7RFU6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	748
LOC590007	A0A7M7N314	A0A7M7N314_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	24046
LOC100893689	A0A7M7P1R5	A0A7M7P1R5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	275
LOC100893413	A0A7M7N9U3	A0A7M7N9U3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	713
LOC100893413	A0A7M7N9W2	A0A7M7N9W2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	704
LOC100893413	A0A7M7NBQ3	A0A7M7NBQ3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	711
LOC574892	A0A7M7NBF2	A0A7M7NBF2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	501
LOC100888006	A0A7M7HNJ0	A0A7M7HNJ0_STRPU	unreviewed	Protein-tyrosine-phosphatase (EC 3.1.3.48)		Strongylocentrotus purpuratus (Purple sea urchin)	1525
LOC100888006	A0A7M7HQB2	A0A7M7HQB2_STRPU	unreviewed	Protein-tyrosine-phosphatase (EC 3.1.3.48)		Strongylocentrotus purpuratus (Purple sea urchin)	1539
LOC586800	A0A7M7RJ05	A0A7M7RJ05_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	205
LOC762390	A0A7M7PU90	A0A7M7PU90_STRPU	unreviewed	Sema domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	598
LOC591321	A0A7M7NIZ2	A0A7M7NIZ2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	767
LOC764585	A0A7M7GFU8	A0A7M7GFU8_STRPU	unreviewed	Sulfotransfer_1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	383
LOC100891041	A0A7M7GFW9	A0A7M7GFW9_STRPU	unreviewed	NTR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	551
LOC753235	A0A7M7P4C8	A0A7M7P4C8_STRPU	unreviewed	Fibrinogen C-terminal domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	343
LOC582803	A0A7M7RF51	A0A7M7RF51_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	416
LOC577602	A0A7M7PRM1	A0A7M7PRM1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1531
LOC105445651	A0A7M7SUS4	A0A7M7SUS4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	541
LOC583430	A0A7M7N7F6	A0A7M7N7F6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	274
LOC583430	A0A7M7N7T0	A0A7M7N7T0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	242
LOC585058	A0A7M7NEF0	A0A7M7NEF0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	475
LOC753079	A0A7M7G0M6	A0A7M7G0M6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	211
LOC753079	A0A7M7HFD6	A0A7M7HFD6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	211
LOC753079	A0A7M7HJ92	A0A7M7HJ92_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	210
LOC115929610	A0A7M7T5C6	A0A7M7T5C6_STRPU	unreviewed	GLOBIN domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	181
LOC583790	A0A7M7HMP8	A0A7M7HMP8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	371
LOC585408	A0A7M7NHF9	A0A7M7NHF9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1921
LOC585408	A0A7M7SWF9	A0A7M7SWF9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1925
LOC585408	A0A7M7SWJ0	A0A7M7SWJ0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1916
LOC575600	A0A7M7NQT7	A0A7M7NQT7_STRPU	unreviewed	PX domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	517
LOC577726	A0A7M7HJ62	A0A7M7HJ62_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	985
LOC577726	A0A7M7HJD3	A0A7M7HJD3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	983
